pick_number,round,position,player_name,team,manager
1,1,WR,Ja'Marr Chase,CIN,451533819841867776
2,1,RB,Bijan Robinson,ATL,826875091739602944
3,1,RB,Jahmyr Gibbs,DET,826858882428141568
4,1,RB,Jonathan Taylor,IND,419350278400126976
5,1,RB,Saquon Barkley,PHI,826895872460685312
6,1,WR,CeeDee Lamb,DAL,450350679567888384
7,1,WR,Justin Jefferson,MIN,826987993683304448
8,1,QB,Josh Allen,BUF,827412517738393600
9,1,RB,Ashton Jeanty,LV,826866295868891136
10,1,WR,Nico Collins,HOU,959954145530691584
11,1,RB,Christian McCaffrey,SF,448551108936200192
12,1,RB,Derrick Henry,BAL,1137078469978001408
13,1,RB,Kyren Williams,LAR,826875538638512128
14,1,WR,Malik Nabers,NYG,1108533477386948608
15,1,WR,Amon-Ra St. Brown,DET,471801039259955200
16,1,WR,Puka Nacua,LAR,738166858095673344
17,2,RB,De'Von Achane,MIA,738166858095673344
18,2,RB,Josh Jacobs,GB,471801039259955200
19,2,RB,Chase Brown,CIN,1108533477386948608
20,2,RB,James Cook,BUF,826875538638512128
21,2,RB,Bucky Irving,TB,1137078469978001408
22,2,WR,Drake London,ATL,448551108936200192
23,2,RB,Kenneth Walker,SEA,959954145530691584
24,2,RB,Omarion Hampton,LAC,826866295868891136
25,2,RB,Breece Hall,NYJ,827412517738393600
26,2,WR,Brian Thomas,JAX,826987993683304448
27,2,RB,TreVeyon Henderson,NE,450350679567888384
28,2,WR,A.J. Brown,PHI,826895872460685312
29,2,RB,Chuba Hubbard,CAR,419350278400126976
30,2,WR,Tee Higgins,CIN,826858882428141568
31,2,WR,Terry McLaurin,WAS,826875091739602944
32,2,RB,James Conner,ARI,451533819841867776
33,3,RB,RJ Harvey,DEN,451533819841867776
34,3,RB,Isiah Pacheco,KC,826875091739602944
35,3,RB,Tony Pollard,TEN,826858882428141568
36,3,WR,Ladd McConkey,LAC,419350278400126976
37,3,TE,Brock Bowers,LV,826895872460685312
38,3,WR,Jaxon Smith-Njigba,SEA,450350679567888384
39,3,RB,Alvin Kamara,NO,826987993683304448
40,3,RB,David Montgomery,DET,827412517738393600
41,3,QB,Lamar Jackson,BAL,826866295868891136
42,3,WR,Travis Hunter,JAX,448551108936200192
43,3,QB,Jayden Daniels,WAS,959954145530691584
44,3,WR,Marvin Harrison,ARI,738166858095673344
45,3,WR,Garrett Wilson,NYJ,826875538638512128
46,3,TE,Trey McBride,ARI,1108533477386948608
47,3,TE,George Kittle,SF,471801039259955200
48,3,WR,Davante Adams,LAR,1137078469978001408
49,4,WR,Xavier Worthy,KC,1137078469978001408
50,4,WR,Mike Evans,TB,471801039259955200
51,4,WR,Tetairoa McMillan,CAR,1108533477386948608
52,4,WR,DeVonta Smith,PHI,826875538638512128
53,4,QB,Joe Burrow,CIN,738166858095673344
54,4,QB,Jalen Hurts,PHI,448551108936200192
55,4,WR,George Pickens,DAL,959954145530691584
56,4,WR,Tyreek Hill,MIA,826866295868891136
57,4,WR,DK Metcalf,PIT,827412517738393600
58,4,WR,Jameson Williams,DET,826987993683304448
59,4,RB,D'Andre Swift,CHI,450350679567888384
60,4,WR,Calvin Ridley,TEN,826895872460685312
61,4,TE,Tyler Warren,IND,419350278400126976
62,4,WR,Courtland Sutton,DEN,826858882428141568
63,4,WR,Zay Flowers,BAL,826875091739602944
64,4,WR,Matthew Golden,GB,451533819841867776
65,5,RB,Zach Charbonnet,SEA,451533819841867776
66,5,QB,Patrick Mahomes,KC,826875091739602944
67,5,WR,DJ Moore,CHI,826858882428141568
68,5,QB,Baker Mayfield,TB,419350278400126976
69,5,WR,Jaylen Waddle,MIA,826895872460685312
70,5,QB,Bo Nix,DEN,450350679567888384
71,5,RB,Kaleb Johnson,PIT,826987993683304448
